,Lemmas,PoS,Sentiment
5109,ransomed,VBN,Disgust/Fear
5110,roared,VBD,Disgust/Fear
5111,drunken,VB,Disgust/Fear
5112,wrung,VBP,Disgust/Fear
5113,pleadeth,VBD,Disgust/Fear
5114,waste,VBP,Sad/Angry
5115,marred,VBN,Disgust/Fear
5116,stricken,VB,Sad/Angry
5117,like,VBP,Happy
5118,sworn,VBP,Disgust/Fear
5119,tossed,VBD,Disgust/Fear
5120,cometh,VBD,Disgust/Fear
5121,polluting,VBG,Disgust/Fear
5122,bark,VB,Disgust/Fear
5123,considering,VBG,Disgust/Fear
5124,enflaming,VBG,Disgust/Fear
5125,lovedst,VBP,Disgust/Fear
5126,approaching,VBG,Disgust/Fear
5127,undo,VB,Disgust/Fear
5128,muttered,VBD,Disgust/Fear
5129,hatch,VBP,Disgust/Fear
5130,conceiving,VBG,Disgust/Fear
5131,uttering,VBG,Disgust/Fear
5132,wondered,VBD,Disgust/Fear
5133,nursed,VBN,Disgust/Fear
5134,bending,VBG,Disgust/Fear
5135,suck,VBD,Sad/Angry
5136,wasting,VBG,Sad/Angry
5137,sent,VB,Disgust/Fear
5138,brokenhearted,VBN,Disgust/Fear
5139,termed,VBN,Disgust/Fear
5140,marry,VBP,Disgust/Fear
5141,trample,VB,Disgust/Fear
5142,upheld,VBD,Disgust/Fear
5143,drunk,VB,Sad/Angry
5144,mention,VB,Disgust/Fear
5145,rend,VBP,Disgust/Fear
5146,waiteth,VBP,Disgust/Fear
5147,fade,VBN,Disgust/Fear
5148,provoketh,VBP,Disgust/Fear
5149,sharon,VB,Disgust/Fear
5150,furnish,VBP,Disgust/Fear
5151,blesseth,VBD,Disgust/Fear
5152,elect,VBP,Disgust/Fear
5153,killeth,VBD,Disgust/Fear
5154,milk,VB,Disgust/Fear
5155,delighted,VBN,Happy
5156,dandled,VBN,Disgust/Fear
5157,afar,VBP,Disgust/Fear
5158,abhorring,VBG,Disgust/Fear
5159,brasen,VB,Disgust/Fear
5160,sown,VB,Disgust/Fear
5161,slave,VB,Disgust/Fear
5162,yelled,VBD,Disgust/Fear
5163,procured,VBN,Disgust/Fear
5164,traversing,VBG,Disgust/Fear
5165,reserve,VB,Disgust/Fear
5166,backsliding,VBG,Disgust/Fear
5167,whereby,VBP,Disgust/Fear
5168,zion,VB,Disgust/Fear
5169,perverted,VBN,Sad/Angry
5170,fan,VB,Happy
5171,climb,VB,Disgust/Fear
5172,bewaileth,VBD,Disgust/Fear
5173,stricken,VBD,Sad/Angry
5174,burst,VBD,Disgust/Fear
5175,neighed,VBN,Disgust/Fear
5176,belied,VBN,Disgust/Fear
5177,impoverish,VB,Disgust/Fear
5178,shine,VBP,Disgust/Fear
5179,overpass,VBP,Disgust/Fear
5180,prophesy,VBP,Disgust/Fear
5181,delicate,VB,Happy
5182,jerusalem,VBP,Disgust/Fear
5183,blush,VB,Disgust/Fear
5184,incense,VB,Disgust/Fear
5185,sweet,VBP,Happy
5186,ride,VBP,Disgust/Fear
5187,wallow,VB,Disgust/Fear
5188,jeremiah,VB,Disgust/Fear
5189,slidden,VBN,Disgust/Fear
5190,aright,VBN,Disgust/Fear
5191,silence,VB,Disgust/Fear
5192,trembled,VBN,Sad/Angry
5193,charmed,VBN,Happy
5194,supplant,VB,Disgust/Fear
5195,gush,VB,Disgust/Fear
5196,wailing,VBG,Disgust/Fear
5197,deck,VBP,Disgust/Fear
5198,fasten,VBP,Disgust/Fear
5199,move,VBD,Disgust/Fear
5200,appertain,VB,Disgust/Fear
5201,forth,VBD,Disgust/Fear
5202,falsehood,VBN,Disgust/Fear
5203,shewedst,VB,Disgust/Fear
5204,plead,VBP,Disgust/Fear
5205,happy,VBP,Happy
5206,pain,VB,Sad/Angry
5207,mar,VB,Disgust/Fear
5208,sorrow,VB,Sad/Angry
5209,accustomed,VBN,Disgust/Fear
5210,calved,VBN,Disgust/Fear
5211,snuffed,VBD,Disgust/Fear
5212,fast,VBP,Disgust/Fear
5213,lothed,VBN,Disgust/Fear
5214,disgrace,VB,Sad/Angry
5215,bemoan,VB,Disgust/Fear
5216,verily,VBD,Disgust/Fear
5217,entreat,VB,Disgust/Fear
5218,iron,VB,Disgust/Fear
5219,revenge,VB,Sad/Angry
5220,feasting,VBG,Disgust/Fear
5221,fish,VB,Disgust/Fear
5222,flesh,VBD,Disgust/Fear
5223,seemed,VBN,Disgust/Fear
5224,pronounced,VBN,Disgust/Fear
5225,benefit,VB,Happy
5226,frame,VBP,Disgust/Fear
5227,wag,VB,Sad/Angry
5228,contend,VBP,Happy
5229,straiten,VB,Disgust/Fear
5230,jeremiah,VBD,Disgust/Fear
5231,pashur,VBD,Disgust/Fear
5232,jeremiah,VBN,Disgust/Fear
5233,report,VB,Disgust/Fear
5234,watched,VBN,Disgust/Fear
5235,pashur,VBP,Disgust/Fear
5236,bemoan,VBD,Disgust/Fear
5237,useth,VB,Disgust/Fear
5238,cutteth,VB,Disgust/Fear
5239,cieled,VBN,Disgust/Fear
5240,ah,VB,Disgust/Fear
5241,coniah,VBP,Disgust/Fear
5242,scatter,VBP,Disgust/Fear
5243,swearing,VBG,Sad/Angry
5244,found,VBP,Disgust/Fear
5245,strengthen,VBP,Happy
5246,earth,VB,Disgust/Fear
5247,jeremiah,VBP,Disgust/Fear
5248,dung,VBN,Disgust/Fear
5249,hananiah,VBD,Disgust/Fear
5250,gemariah,VB,Disgust/Fear
5251,zedekiah,VBP,Disgust/Fear
5252,nebuchadnezzar,VB,Disgust/Fear
5253,zephaniah,VB,Disgust/Fear
5254,oppress,VBD,Disgust/Fear
5255,engaged,VBD,Happy
5256,continuing,VBG,Disgust/Fear
5257,adorned,VBN,Happy
5258,ransomed,VBD,Disgust/Fear
5259,satiate,VB,Disgust/Fear
5260,bemoaning,VBG,Disgust/Fear
5261,chastised,VBN,Sad/Angry
5262,satiated,VBN,Disgust/Fear
5263,goath,VB,Disgust/Fear
5264,mouth,VBP,Disgust/Fear
5265,hanameel,VB,Disgust/Fear
5266,subscribed,VBD,Disgust/Fear
5267,recompensest,VB,Disgust/Fear
5268,commandedst,VBD,Disgust/Fear
5269,teaching,VBG,Disgust/Fear
5270,cure,VB,Disgust/Fear
5271,telleth,VBP,Disgust/Fear
5272,die,VBN,Sad/Angry
5273,obeyed,VBP,Disgust/Fear
5274,proclaiming,VBG,Disgust/Fear
5275,proclaim,VBP,Disgust/Fear
5276,wine,VB,Disgust/Fear
5277,pot,VBP,Disgust/Fear
5278,vineyard,VBP,Disgust/Fear
5279,baruch,VB,Disgust/Fear
5280,fight,VBP,Sad/Angry
5281,rotten,VB,Sad/Angry
5282,mock,VBP,Sad/Angry
5283,nebuzar-adan,VB,Disgust/Fear
5284,gedaliah,VBD,Disgust/Fear
5285,ebed-melech,VB,Disgust/Fear
5286,johanan,VBP,Disgust/Fear
5287,gedaliah,VBP,Disgust/Fear
5288,ishmael,VBG,Disgust/Fear
5289,wanted,VBN,Disgust/Fear
5290,nebuchadrezzar,VBP,Disgust/Fear
5291,furbish,VB,Disgust/Fear
5292,chariot,VBP,Disgust/Fear
5293,cured,VBN,Disgust/Fear
5294,stumbled,VBN,Disgust/Fear
5295,swept,VB,Disgust/Fear
5296,oppressing,VBG,Disgust/Fear
5297,march,VB,Disgust/Fear
5298,spoiling,VBG,Disgust/Fear
5299,chemosh,VB,Disgust/Fear
5300,vessel,VB,Disgust/Fear
5301,empty,VB,Sad/Angry
5302,hasteth,VBD,Disgust/Fear
5303,reach,VBP,Happy
5304,clipped,VBD,Disgust/Fear
5305,sackcloth,VBP,Disgust/Fear
5306,surprised,VBN,Happy
5307,vanished,VBN,Disgust/Fear
5308,bozrah,VBP,Disgust/Fear
5309,holdest,VBP,Disgust/Fear
5310,edom,VBP,Disgust/Fear
5311,desolate,VBP,Disgust/Fear
5312,seized,VBN,Disgust/Fear
5313,hazor,VB,Disgust/Fear
5314,chaldea,VB,Disgust/Fear
5315,bellow,VB,Disgust/Fear
5316,handleth,VBD,Disgust/Fear
5317,disquiet,VB,Sad/Angry
5318,dote,VB,Disgust/Fear
5319,bendeth,VBD,Disgust/Fear
5320,bend,VB,Disgust/Fear
5321,lifteth,VBD,Disgust/Fear
5322,flee,VBN,Disgust/Fear
5323,forborn,VBN,Disgust/Fear
5324,thresh,VB,Disgust/Fear
5325,yell,VB,Disgust/Fear
5326,wake,VB,Disgust/Fear
5327,groan,VB,Disgust/Fear
5328,nebuchadrezzar,VBD,Disgust/Fear
5329,weepeth,VBD,Disgust/Fear
5330,sigh,VBP,Happy
5331,sigheth,VBD,Disgust/Fear
5332,relieve,VB,Happy
5333,wreathed,VBN,Disgust/Fear
5334,runneth,VBD,Disgust/Fear
5335,languished,VBD,Disgust/Fear
5336,swooned,VBD,Disgust/Fear
5337,hiss,VBP,Disgust/Fear
5338,wag,VBP,Sad/Angry
5339,gnash,VBP,Disgust/Fear
5340,faint,VBP,Disgust/Fear
5341,pitied,VB,Sad/Angry
5342,swaddled,VBN,Disgust/Fear
5343,remembering,VBG,Disgust/Fear
5344,subvert,VB,Disgust/Fear
5345,trickleth,VBD,Disgust/Fear
5346,fine,VB,Happy
5347,wandered,VBN,Disgust/Fear
5348,respected,VBD,Happy
5349,hunt,VBP,Disgust/Fear
5350,ezekiel,VBD,Disgust/Fear
5351,ezekiel,VBP,Disgust/Fear
5352,infolding,VBG,Disgust/Fear
5353,sparkled,VBD,Disgust/Fear
5354,bright,VBN,Happy
5355,downward,VBP,Disgust/Fear
5356,brightness,VBN,Happy
5357,stiffhearted,VBN,Disgust/Fear
5358,dost,VBN,Disgust/Fear
5359,hardhearted,VBN,Disgust/Fear
5360,warning,VBG,Sad/Angry
5361,warn,VBP,Sad/Angry
5362,warned,VBN,Sad/Angry
5363,there,VB,Disgust/Fear
5364,battering,VBG,Disgust/Fear
5365,famine,VBP,Disgust/Fear
5366,sweet,VB,Happy
5367,blossomed,VBD,Disgust/Fear
5368,rumour,VB,Disgust/Fear
5369,pourtrayed,VBN,Disgust/Fear
5370,pouring,VBG,Disgust/Fear
5371,whither,VBD,Disgust/Fear
5372,mounted,VBD,Disgust/Fear
5373,knew,VBP,Disgust/Fear
5374,pelatiah,VBP,Disgust/Fear
5375,disperse,VB,Disgust/Fear
5376,daubing,VBG,Disgust/Fear
5377,daubed,VBN,Disgust/Fear
5378,hunted,VBN,Disgust/Fear
5379,promising,VBG,Happy
5380,deliver,VBP,Disgust/Fear
5381,supple,VB,Disgust/Fear
5382,salted,VBN,Disgust/Fear
5383,swaddled,VBD,Disgust/Fear
5384,pitied,VBD,Sad/Angry
5385,decked,VBD,Disgust/Fear
5386,broidered,VBD,Disgust/Fear
5387,deckedst,VB,Disgust/Fear
5388,coveredst,VB,Disgust/Fear
5389,couldest,VB,Disgust/Fear
5390,givest,VBD,Disgust/Fear
5391,fretted,VBD,Disgust/Fear
5392,lothed,VBD,Disgust/Fear
5393,pacified,VBN,Disgust/Fear
5394,longwinged,VBD,Disgust/Fear
5395,cropped,VBD,Disgust/Fear
5396,doeth,VBD,Disgust/Fear
5397,espied,VBN,Disgust/Fear
5398,pollute,VBP,Sad/Angry
5399,furbished,VBD,Disgust/Fear
5400,furbished,VBN,Disgust/Fear
5401,glitter,VB,Disgust/Fear
5402,handled,VBN,Disgust/Fear
5403,entereth,VBP,Disgust/Fear
5404,rabbath,VB,Disgust/Fear
5405,defenced,VBN,Disgust/Fear
5406,bright,VBD,Happy
5407,abase,VB,Disgust/Fear
5408,overturn,VB,Disgust/Fear
5409,divine,VBP,Happy
5410,gained,VBN,Happy
5411,ravening,VBG,Disgust/Fear
5412,violated,VBN,Sad/Angry
5413,divining,VBG,Happy
5414,exercised,VBD,Disgust/Fear
5415,bruised,VBD,Disgust/Fear
5416,doted,VBD,Disgust/Fear
5417,alienated,VBN,Disgust/Fear
5418,bruising,VBG,Disgust/Fear
5419,aholibah,VBP,Disgust/Fear
5420,dispatch,VB,Disgust/Fear
5421,revenged,VBD,Sad/Angry
5422,causeth,VBD,Disgust/Fear
5423,tyrus,VB,Disgust/Fear
5424,seafaring,VBG,Disgust/Fear
5425,descend,VBP,Disgust/Fear
5426,shalt,VBN,Disgust/Fear
5427,occupy,VB,Disgust/Fear
5428,traded,VBD,Disgust/Fear
5429,traded,VBN,Disgust/Fear
5430,occupied,VBD,Disgust/Fear
5431,handle,VBD,Disgust/Fear
5432,grieving,VBG,Sad/Angry
5433,stick,VB,Disgust/Fear
5434,beast,VBD,Disgust/Fear
5435,wage,VB,Disgust/Fear
5436,troubledst,VB,Disgust/Fear
5437,fouledst,VB,Disgust/Fear
5438,brandish,VB,Disgust/Fear
5439,deep,VBP,Disgust/Fear
5440,borne,VBP,Disgust/Fear
5441,blow,VBD,Disgust/Fear
5442,pine,VBP,Disgust/Fear
5443,committing,VBG,Happy
5444,inhabit,VBP,Disgust/Fear
5445,woe,VB,Sad/Angry
5446,foul,VB,Disgust/Fear
5447,fouled,VBN,Disgust/Fear
5448,thrust,VBN,Disgust/Fear
5449,pushed,VBD,Disgust/Fear
5450,blood,VBD,Disgust/Fear
5451,boasted,VBN,Disgust/Fear
5452,aha,VBP,Disgust/Fear
5453,ours,VBN,Disgust/Fear
5454,tilled,VBN,Disgust/Fear
5455,devourest,VB,Disgust/Fear
5456,bereaved,VBD,Sad/Angry
5457,before,VBP,Disgust/Fear
5458,handling,VBG,Disgust/Fear
5459,whereof,VBD,Disgust/Fear
5460,palm,VB,Disgust/Fear
5461,thereon,VB,Disgust/Fear
5462,squared,VBD,Disgust/Fear
5463,pillar,VBN,Disgust/Fear
5464,measuring,VBG,Disgust/Fear
5465,cleansing,VBG,Disgust/Fear
5466,mark,VB,Disgust/Fear
5467,ministering,VBG,Disgust/Fear
5468,linen,VBN,Disgust/Fear
5469,shave,VBP,Disgust/Fear
5470,poll,VB,Disgust/Fear
5471,torn,VB,Sad/Angry
5472,fowl,VBN,Disgust/Fear
5473,beast,VBN,Disgust/Fear
5474,temper,VB,Sad/Angry
5475,issued,VBD,Disgust/Fear
5476,issue,VBP,Disgust/Fear
5477,engedi,VBG,Disgust/Fear
5478,salt,VB,Disgust/Fear
5479,tribe,VBD,Disgust/Fear
5480,east,VBP,Disgust/Fear
5481,alienate,VBP,Disgust/Fear
5482,nourishing,VBG,Disgust/Fear
5483,mishael,VB,Disgust/Fear
5484,liking,VBG,Happy
5485,melzar,VB,Disgust/Fear
5486,daniel,VB,Disgust/Fear
5487,gain,VB,Happy
5488,arioch,VB,Disgust/Fear
5489,thank,VBD,Happy
5490,wheresoever,VB,Disgust/Fear
5491,subdueth,VB,Disgust/Fear
5492,requested,VBN,Disgust/Fear
5493,worshippeth,VB,Disgust/Fear
5494,accused,VBD,Sad/Angry
5495,heat,VB,Disgust/Fear
5496,heated,VBN,Disgust/Fear
5497,singed,VBN,Disgust/Fear
5498,promoted,VBD,Happy
5499,flourishing,VBG,Disgust/Fear
5500,shadow,VBN,Disgust/Fear
5501,wet,VBN,Disgust/Fear
5502,whomsoever,VB,Disgust/Fear
5503,belteshazzar,VBP,Disgust/Fear
5504,wet,VB,Disgust/Fear
5505,kingdom,VB,Disgust/Fear
5506,reputed,VBN,Disgust/Fear
5507,belshazzar,VB,Disgust/Fear
5508,nebuchadnezzar,VBN,Disgust/Fear
5509,deposed,VBN,Disgust/Fear
5510,preferred,VBN,Disgust/Fear
5511,whosoever,VBP,Disgust/Fear
5512,sign,VBD,Disgust/Fear
5513,signed,VBD,Disgust/Fear
5514,signed,VBN,Disgust/Fear
5515,accused,VBN,Sad/Angry
5516,rescueth,VB,Disgust/Fear
5517,diverse,VB,Disgust/Fear
5518,eagle,VBN,Disgust/Fear
5519,diverse,VBN,Disgust/Fear
5520,pushing,VBG,Disgust/Fear
5521,practised,VBD,Disgust/Fear
5522,daniel,VBP,Disgust/Fear
5523,defer,VB,Sad/Angry
5524,confessing,VBG,Disgust/Fear
5525,presenting,VBG,Disgust/Fear
5526,informed,VBD,Disgust/Fear
5527,finish,VB,Disgust/Fear
5528,ate,VBP,Disgust/Fear
5529,polished,VB,Disgust/Fear
5530,retained,VBN,Happy
5531,egypt,VBP,Disgust/Fear
5532,corrupting,VBG,Disgust/Fear
5533,forecast,VB,Disgust/Fear
5534,michael,VB,Disgust/Fear
5535,hosea,VB,Disgust/Fear
5536,strip,VBP,Disgust/Fear
5537,hedge,VB,Disgust/Fear
5538,allure,VB,Disgust/Fear
5539,betroth,VB,Disgust/Fear
5540,whoring,VBG,Disgust/Fear
5541,sacrifice,VBP,Disgust/Fear
5542,ephraim,VBP,Disgust/Fear
5543,broken,VBP,Sad/Angry
5544,spoileth,VBP,Disgust/Fear
5545,raising,VBG,Disgust/Fear
5546,howled,VBD,Disgust/Fear
5547,assemble,VBP,Disgust/Fear
5548,attain,VBP,Disgust/Fear
5549,innocency,VB,Happy
5550,altar,VB,Disgust/Fear
5551,loveth,VBP,Disgust/Fear
5552,reaped,VBN,Disgust/Fear
5553,ruleth,VBN,Disgust/Fear
5554,ransom,VB,Disgust/Fear
5555,ripped,VBN,Disgust/Fear
5556,asshur,VB,Disgust/Fear
5557,barked,VBD,Disgust/Fear
5558,rotten,VBN,Sad/Angry
5559,sound,VBD,Disgust/Fear
5560,quake,VB,Disgust/Fear
5561,sent,VBP,Disgust/Fear
5562,dream,VB,Happy
5563,tyre,VBP,Disgust/Fear
5564,wakened,VBN,Disgust/Fear
5565,overflow,VBP,Disgust/Fear
5566,pant,VBP,Disgust/Fear
5567,agreed,VBN,Happy
5568,store,VBD,Disgust/Fear
5569,crush,VBP,Sad/Angry
5570,wormwood,VB,Disgust/Fear
5571,poureth,VB,Disgust/Fear
5572,chiun,VB,Disgust/Fear
5573,chant,VBP,Disgust/Fear
5574,burneth,VBD,Disgust/Fear
5575,falsifying,VBG,Disgust/Fear
5576,climb,VBP,Disgust/Fear
5577,sifted,VBN,Disgust/Fear
5578,close,VB,Disgust/Fear
5579,teman,VB,Disgust/Fear
5580,nineveh,VB,Disgust/Fear
5581,paid,VBD,Disgust/Fear
5582,calm,VBN,Happy
5583,rowed,VBD,Disgust/Fear
5584,vomited,VBD,Disgust/Fear
5585,preaching,VBG,Disgust/Fear
5586,jonah,VB,Disgust/Fear
5587,witness,VBN,Disgust/Fear
5588,cleft,VBN,Disgust/Fear
5589,samaria,VBN,Disgust/Fear
5590,wail,VB,Disgust/Fear
5591,moreshethgath,VB,Disgust/Fear
5592,practise,VBP,Disgust/Fear
5593,covet,VBP,Disgust/Fear
5594,averse,VBP,Disgust/Fear
5595,chop,VB,Disgust/Fear
5596,ill,VBP,Sad/Angry
5597,travaileth,VBD,Disgust/Fear
5598,treadeth,VBD,Disgust/Fear
5599,treadeth,VBP,Disgust/Fear
5600,tread,VBD,Disgust/Fear
5601,wrap,VBP,Disgust/Fear
5602,riseth,VBD,Disgust/Fear
5603,mountain,VB,Disgust/Fear
5604,drieth,VB,Disgust/Fear
5605,quake,VBP,Disgust/Fear
5606,overrunning,VBG,Disgust/Fear
5607,marred,VBD,Disgust/Fear
5608,justle,VB,Disgust/Fear
5609,recount,VB,Disgust/Fear
5610,huzzab,VB,Disgust/Fear
5611,tabering,VBG,Disgust/Fear
5612,strangled,VBD,Sad/Angry
5613,fleeth,VB,Disgust/Fear
5614,camp,VBP,Disgust/Fear
5615,slacked,VBN,Disgust/Fear
5616,theirs,VB,Disgust/Fear
5617,sup,VB,Disgust/Fear
5618,scoff,VB,Disgust/Fear
5619,deride,VB,Sad/Angry
5620,imputing,VBG,Disgust/Fear
5621,write,VBD,Disgust/Fear
5622,enlargeth,VBD,Disgust/Fear
5623,gathereth,VBP,Disgust/Fear
5624,heapeth,VB,Disgust/Fear
5625,taunting,VBG,Disgust/Fear
5626,glittering,VBG,Disgust/Fear
5627,thresh,VBD,Disgust/Fear
5628,discovering,VBG,Disgust/Fear
5629,quivered,VBN,Disgust/Fear
5630,invade,VB,Disgust/Fear
5631,leap,VBP,Disgust/Fear
5632,fill,VBP,Disgust/Fear
5633,canaan,VBP,Disgust/Fear
5634,wag,VBD,Sad/Angry
5635,gnaw,VBP,Disgust/Fear
5636,fame,VB,Happy
5637,haggai,VBG,Disgust/Fear
5638,little,VB,Disgust/Fear
5639,covenanted,VBD,Disgust/Fear
5640,forward,VB,Disgust/Fear
5641,resist,VB,Disgust/Fear
5642,engrave,VB,Disgust/Fear
5643,waked,VBD,Disgust/Fear
5644,sweareth,VBD,Disgust/Fear
5645,helem,VB,Disgust/Fear
5646,tobijah,VB,Disgust/Fear
5647,hen,VB,Disgust/Fear
5648,separating,VBG,Disgust/Fear
5649,border,VB,Disgust/Fear
5650,heaped,VBD,Disgust/Fear
5651,pity,VBP,Sad/Angry
5652,prised,VBN,Disgust/Fear
5653,therein,VBD,Disgust/Fear
5654,refine,VB,Disgust/Fear
5655,rifled,VBD,Disgust/Fear
5656,impoverished,VBN,Disgust/Fear
5657,beseech,VB,Disgust/Fear
5658,snuffed,VBN,Disgust/Fear
5659,sacrificeth,VB,Disgust/Fear
5660,offereth,VBD,Disgust/Fear
5661,judgment,VB,Disgust/Fear
5662,herewith,VBP,Disgust/Fear
5663,stout,VBN,Happy
5664,serveth,VBD,Disgust/Fear
5665,healing,VBG,Disgust/Fear
5666,elijah,VBP,Disgust/Fear
5667,st.,VB,Disgust/Fear
5668,esrom,VB,Disgust/Fear
5669,aminadab,VB,Disgust/Fear
5670,booz,VB,Disgust/Fear
5671,roboam,VB,Disgust/Fear
5672,joatham,VB,Disgust/Fear
5673,achaz,VB,Disgust/Fear
5674,abiud,VB,Disgust/Fear
5675,sadoc,VB,Disgust/Fear
5676,achim,VB,Disgust/Fear
5677,matthan,VB,Disgust/Fear
5678,bidden,VBN,Disgust/Fear
5679,herod,VB,Disgust/Fear
5680,mocked,VBN,Sad/Angry
5681,baptized,VBN,Disgust/Fear
5682,baptize,VB,Disgust/Fear
5683,throughly,VB,Disgust/Fear
5684,hungred,VBN,Disgust/Fear
5685,leaving,VBG,Disgust/Fear
5686,esaias,VBG,Disgust/Fear
5687,sprung,VBN,Disgust/Fear
5688,andrew,VBD,Disgust/Fear
5689,straightway,VBP,Disgust/Fear
5690,john,VB,Disgust/Fear
5691,mending,VBG,Disgust/Fear
5692,rememberest,VB,Disgust/Fear
5693,reconciled,VBN,Disgust/Fear
5694,looketh,VBP,Disgust/Fear
5695,lust,VB,Disgust/Fear
5696,sue,VB,Disgust/Fear
5697,salute,VBP,Disgust/Fear
5698,disfigure,VBP,Disgust/Fear
5699,rust,VB,Disgust/Fear
5700,feedeth,VBD,Disgust/Fear
5701,toil,VBP,Disgust/Fear
5702,matthew,VBP,Disgust/Fear
5703,trample,VBP,Disgust/Fear
5704,knock,VB,Disgust/Fear
5705,destruction,VB,Sad/Angry
5706,beseeching,VBG,Disgust/Fear
5707,tormented,VBN,Disgust/Fear
5708,obey,VBD,Disgust/Fear
5709,torment,VB,Disgust/Fear
5710,jesus,VB,Disgust/Fear
5711,repentance,VB,Disgust/Fear
5712,simon,VBD,Disgust/Fear
5713,betrayed,VBD,Sad/Angry
5714,cleanse,VBP,Disgust/Fear
5715,scourge,VB,Disgust/Fear
5716,receiveth,VB,Disgust/Fear
5717,preached,VBD,Disgust/Fear
5718,risen,VB,Disgust/Fear
5719,least,VBN,Disgust/Fear
5720,piped,VBN,Disgust/Fear
5721,upbraid,VB,Disgust/Fear
5722,blameless,VBN,Happy
5723,accuse,VB,Sad/Angry
5724,dumb,VB,Sad/Angry
5725,satan,VBN,Disgust/Fear
5726,scattereth,VBP,Disgust/Fear
5727,blasphemy,VB,Disgust/Fear
5728,speaketh,VB,Disgust/Fear
5729,desiring,VBG,Disgust/Fear
5730,forthwith,VB,Disgust/Fear
5731,sprung,VBP,Disgust/Fear
5732,scorched,VBN,Disgust/Fear
5733,choked,VBD,Sad/Angry
5734,catcheth,VB,Disgust/Fear
5735,receiveth,VBP,Disgust/Fear
5736,choke,VBD,Sad/Angry
5737,beareth,VBP,Disgust/Fear
5738,root,VBP,Disgust/Fear
5739,selleth,VB,Disgust/Fear
5740,shore,VB,Disgust/Fear
5741,john,VBP,Disgust/Fear
5742,round,VBD,Disgust/Fear
5743,transgress,VBP,Disgust/Fear
5744,profited,VBN,Happy
5745,esaias,VB,Disgust/Fear
5746,draweth,VBP,Disgust/Fear
5747,honoureth,VB,Disgust/Fear
5748,matthew,VBD,Disgust/Fear
5749,fasting,VBG,Disgust/Fear
5750,tempting,VBG,Disgust/Fear
5751,reasoned,VBD,Disgust/Fear
5752,elia,VBP,Disgust/Fear
5753,jesus,VBG,Disgust/Fear
5754,transfigured,VBN,Disgust/Fear
5755,elia,VB,Disgust/Fear
5756,overshadowed,VBD,Disgust/Fear
5757,listed,VBD,Disgust/Fear
5758,yonder,VB,Disgust/Fear
5759,betrayed,VBN,Sad/Angry
5760,capernaum,VB,Disgust/Fear
5761,peter,VB,Disgust/Fear
5762,neglect,VBP,Sad/Angry
5763,agree,VB,Happy
5764,owed,VBD,Disgust/Fear
5765,therefore,VBD,Disgust/Fear
5766,eunuch,VBP,Disgust/Fear
5767,idle,VB,Disgust/Fear
5768,crucify,VB,Disgust/Fear
5769,exercise,VBP,Disgust/Fear
5770,bethphage,VB,Disgust/Fear
5771,doest,VBP,Disgust/Fear
5772,hedged,VBD,Disgust/Fear
5773,entangle,VB,Disgust/Fear
5774,jesus,VBP,Disgust/Fear
5775,caesar,VBP,Disgust/Fear
5776,bid,VBP,Disgust/Fear
5777,abased,VBN,Disgust/Fear
5778,twofold,VB,Disgust/Fear
5779,sweareth,VBN,Disgust/Fear
5780,strain,VBP,Sad/Angry
5781,garnish,VB,Disgust/Fear
5782,killest,VBD,Disgust/Fear
5783,daniel,VBG,Disgust/Fear
5784,lo,VB,Disgust/Fear
5785,shineth,VB,Disgust/Fear
5786,learn,VBP,Disgust/Fear
5787,tender,VBN,Disgust/Fear
5788,grinding,VBG,Disgust/Fear
5789,slumbered,VBD,Disgust/Fear
5790,strawed,VBN,Disgust/Fear
5791,crucified,VBN,Disgust/Fear
5792,findeth,VB,Disgust/Fear
5793,caiaphas,VB,Disgust/Fear
5794,none,VBP,Disgust/Fear
5795,buffeted,VBD,Disgust/Fear
5796,peter,VBP,Disgust/Fear
5797,pontius,VB,Disgust/Fear
5798,pilate,VB,Disgust/Fear
5799,witness,VBP,Disgust/Fear
5800,feast,VBD,Disgust/Fear
5801,release,VBP,Disgust/Fear
5802,released,VBD,Disgust/Fear
5803,barabbas,VB,Disgust/Fear
5804,platted,VBN,Disgust/Fear
5805,spit,VBP,Disgust/Fear
5806,tasted,VBN,Disgust/Fear
5807,crucified,VBD,Disgust/Fear
5808,reviled,VBD,Disgust/Fear
5809,wagging,VBG,Disgust/Fear
5810,mocking,VBG,Sad/Angry
5811,slept,VBP,Disgust/Fear
5812,mary,VBD,Disgust/Fear
5813,begged,VBD,Disgust/Fear
5814,steal,VBD,Sad/Angry
5815,sealing,VBG,Disgust/Fear
5816,dawn,VB,Disgust/Fear
5817,doubted,VBD,Sad/Angry
5818,baptizing,VBG,Disgust/Fear
5819,alway,VBP,Disgust/Fear
5820,preach,VBP,Disgust/Fear
5821,questioned,VBD,Sad/Angry
5822,blaze,VB,Disgust/Fear
5823,noised,VBN,Disgust/Fear
5824,reasoning,VBG,Disgust/Fear
5825,spilled,VBN,Disgust/Fear
5826,about,VBP,Disgust/Fear
5827,throng,VB,Disgust/Fear
5828,simon,VB,Disgust/Fear
5829,casteth,VBP,Disgust/Fear
5830,satan,VB,Disgust/Fear
5831,sprang,VBD,Disgust/Fear
5832,manifested,VBN,Disgust/Fear
5833,carest,VBP,Disgust/Fear
5834,choked,VBN,Sad/Angry
5835,thronged,VBD,Disgust/Fear
5836,bettered,VBN,Disgust/Fear
